County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with Booster Dose,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,
Texas,--,"27,513,735","42,957,316","20,546,940","17,359,911","6,409,788","26,967,586","24,068,624","22,421,178","3,734,229","1,241,763","271,813","8,302,974","850,859",,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,"720,525",--,--,--,,,--,--,--,--,--,--,--,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,"5,509,700",--,--,--,,,--,--,--,--,--,--,--,,,,,,,,,,
Anderson,4/5N,"17,870","55,858","26,908","23,885","7,804","54,637","50,661","48,045","8,658","2,051",833,"20,206","1,574",,,,,,,,,,
Andrews,44814,"6,100","19,674","9,145","8,138","2,713","17,266","14,863","13,503","1,833",309,106,"5,450",41,,,,,,,,,,
Angelina,4/5N,"58,100","95,798","44,182","39,379","15,268","81,499","72,486","67,056","14,422","6,534","1,752","28,054","3,266",,,,,,,,,,
Aransas,11,"6,840","34,900","15,941","13,879","6,076","22,639","20,834","19,803","6,791",370,252,"6,701",39,,,,,,,,,,
Archer,44595,"3,200","9,618","4,432","4,069","1,512","7,996","7,388","6,921","1,677",80,13,"2,381",330,,,,,,,,,,
Armstrong,1,"2,100","1,765",823,719,279,"1,723","1,584","1,499",470,32,86,466,0,,,,,,,,,,
Atascosa,8,"19,000","60,773","28,871","25,032","8,598","46,959","41,738","38,768","7,605","1,124",651,"15,239","1,557",,,,,,,,,,
Austin,6/5S,"8,700","34,631","16,583","14,508","5,517","28,313","25,335","23,704","5,933",667,396,"7,873","1,079",,,,,,,,,,
Bailey,1,"24,135","6,471","3,213","2,656",854,"6,414","5,603","5,089","1,036",114,74,"1,982",0,,,,,,,,,,
Bandera,8,"5,100","24,483","11,458","10,021","4,245","22,019","20,596","19,763","6,439",352,180,"6,555",20,,,,,,,,,,
Bastrop,7,"62,200","124,542","59,725","49,998","17,999","82,246","74,173","68,839","13,865","1,462",696,"29,356","2,746",,,,,,,,,,
Baylor,44595,"5,550","3,369","1,602","1,447",463,"3,302","2,992","2,793",844,137,97,908,0,,,,,,,,,,
Bee,11,"83,660","39,836","18,941","16,107","5,474","31,026","28,034","26,496","4,091",981,684,"11,359",989,,,,,,,,,,
Bell,7,"222,970","377,938","182,120","153,892","53,367","336,691","294,905","272,969","40,534","15,894","2,466","95,066","12,910",,,,,,,,,,
Bexar,8,"1,502,800","3,202,738","1,508,521","1,273,745","503,985","1,864,646","1,661,614","1,552,823","247,843","100,704","17,248","614,646","61,232",,,,,,,,,,
Blanco,7,"5,600","14,933","6,798","6,038","2,586","11,461","10,598","10,092","3,004",90,102,"3,388",303,,,,,,,,,,
Borden,44814,0,445,228,200,51,613,569,543,174,9,0,163,0,,,,,,,,,,
Bosque,7,"11,100","20,407","9,449","8,418","3,477","17,664","16,110","15,224","4,741",624,407,"5,126",579,,,,,,,,,,
Bowie,4/5N,"67,090","79,198","38,634","32,821","11,314","86,659","78,795","73,689","15,832","6,332","1,467","29,102","3,303",,,,,,,,,,
Brazoria,6/5S,"224,000","523,782","241,485","216,264","82,973","347,809","310,503","287,683","45,752","9,762","2,648","105,966","12,034",,,,,,,,,,
Brazos,7,"176,390","286,062","134,563","117,224","42,392","218,080","198,148","186,843","21,693","7,514","1,414","59,619","6,083",,,,,,,,,,
Brewster,44814,"5,100","12,636","5,947","5,043","2,180","8,905","8,071","7,706","2,231",303,0,"2,579",255,,,,,,,,,,
Briscoe,1,"1,200","1,585",688,617,315,"1,470","1,352","1,272",404,19,0,452,0,,,,,,,,,,
Brooks,11,"3,400","11,137","5,221","4,526","1,817","6,460","5,714","5,317","1,308",323,246,"2,253",22,,,,,,,,,,
Brown,44595,"14,800","34,973","17,667","15,796","5,461","36,099","32,897","30,883","7,720","1,663",911,"11,188","1,112",,,,,,,,,,
Burleson,7,"4,700","20,974","9,705","8,755","3,539","17,438","15,888","14,869","3,867",143,218,"5,600",518,,,,,,,,,,
Burnet,7,"38,215","60,872","28,350","25,079","10,281","45,640","41,525","39,239","10,999","1,823",595,"13,132",94,,,,,,,,,,
Caldwell,7,"15,100","58,168","28,043","23,794","8,642","41,232","37,400","34,853","6,512","1,286",524,"14,114","1,294",,,,,,,,,,
Calhoun,8,"7,300","26,831","12,856","11,250","4,349","20,138","17,988","16,817","3,981",470,384,"6,161",53,,,,,,,,,,
Callahan,44595,"3,500","12,277","5,811","5,197","1,973","12,938","11,949","11,263","2,958",146,122,"4,094",442,,,,,,,,,,
Cameron,11,"377,955","848,113","412,341","333,033","124,398","389,474","339,698","311,689","58,607","29,737","6,315","127,806","17,059",,,,,,,,,,
Camp,4/5N,"1,800","13,450","6,324","5,447","2,004","12,036","10,774","10,031","2,494",207,152,"3,927",0,,,,,,,,,,
Carson,1,"1,800","4,994","2,306","2,029",784,"5,596","5,073","4,718","1,250",60,0,"1,547",240,,,,,,,,,,
Cass,4/5N,"5,100","24,430","11,759","10,191","3,899","28,402","25,670","24,182","6,856","1,216",550,"9,010","1,125",,,,,,,,,,
Castro,1,"3,100","7,870","3,790","3,157","1,162","6,853","6,026","5,607","1,236",121,174,"2,168",341,,,,,,,,,,
Chambers,6/5S,"37,400","51,161","24,185","21,324","6,853","40,048","35,653","33,062","5,259",958,244,"12,484","1,539",,,,,,,,,,
Cherokee,4/5N,"18,070","50,235","23,762","20,990","7,818","49,273","44,073","40,876","9,444","1,500",738,"16,376","1,511",,,,,,,,,,
Childress,1,"5,000","8,138","3,922","3,579","1,453","6,988","6,419","6,094","1,165",251,136,"2,395",0,,,,,,,,,,
Clay,44595,"14,645","10,474","4,805","4,388","1,659","9,986","9,145","8,666","2,484",136,60,"3,011",384,,,,,,,,,,
